Latitude,Longitude
49.293942,-123.135542
49.293109,-123.13545
49.295304,-123.13574597222222
49.29581197222222,-123.13566
49.29281797222222,-123.13541397222222
49.2969,-123.13270299999999
49.29616297222222,-123.12870299999999
49.296571,-123.12724097222221
49.297413999999996,-123.12631797222221
49.297413999999996,-123.12631797222221
49.297547,-123.123013
49.297547,-123.123013
49.297547,-123.123013
49.29826297222222,-123.12173197222222
49.29894697222222,-123.12128799999999
49.298569,-123.12129399999999
49.29803797222222,-123.11889699999999
49.298058999999995,-123.11746099999999
49.298058999999995,-123.11746099999999
49.298058999999995,-123.11746099999999
49.298058999999995,-123.11746099999999
49.313233999999994,-123.079149
49.30070597222222,-123.11670299999999
49.311994999999996,-123.07798199999999
49.300740999999995,-123.11744297222222
49.29997097222222,-123.11826099999999
49.299549999999996,-123.12002997222221
49.299549999999996,-123.12002997222221
49.299696999999995,-123.12060699999999
49.299696999999995,-123.12060699999999
49.300377999999995,-123.12291997222222
49.32835,-123.156924
49.30053997222222,-123.12305897222221
49.30241397222222,-123.12622099999999
49.30241397222222,-123.12622099999999
49.308513999999995,-123.136043
49.305947999999994,-123.13681697222223
49.305947999999994,-123.13681697222223
49.305947999999994,-123.13681697222223
49.304976999999994,-123.138507
49.293003999999996,-123.135579
49.29966497222222,-123.135754
49.29936897222222,-123.13579097222222
49.299313999999995,-123.13566697222223
49.299313999999995,-123.13566697222223
49.29907,-123.135985
49.298623972222224,-123.13585897222222
49.298578972222224,-123.13616297222222
49.298631,-123.136019
49.297117,-123.137247
49.30089497222222,-123.14861797222223
49.30099897222222,-123.1487
49.301672999999994,-123.15051097222222
49.301672999999994,-123.15051097222222
49.303982999999995,-123.155758
49.303148,-123.156394
49.303148,-123.156394
49.301733999999996,-123.15729797222222
49.301537999999994,-123.158265
49.300363999999995,-123.15829997222222
49.29570497222222,-123.147248
49.29570497222222,-123.147248
49.294896,-123.145165
49.29285397222222,-123.14176397222222
49.294131,-123.143658
49.294131,-123.143658
49.29369297222222,-123.14292297222222
49.293496999999995,-123.14156597222222
49.253743,-122.918666
49.288616999999995,-123.11506597222221
49.288616999999995,-123.11506597222221
49.288125,-123.11380097222222
49.287301972222224,-123.11551097222221
49.28556997222222,-123.11232299999999
49.28786197222222,-123.11403597222221
49.28786197222222,-123.11403597222221
49.287921999999995,-123.11406799999999
49.289108999999996,-123.11761797222222
49.29061397222222,-123.12389197222221
49.29772597222222,-123.13138099999999
49.30055397222222,-123.13089897222221
