lat,lon
49.284399,-123.10971199999999
49.284576,-123.10896199999999
49.28451297222222,-123.10882099999999
49.284104972222224,-123.10735799999999
49.283991,-123.10687597222221
49.283008,-123.10811997222221
49.285340999999995,-123.11095599999999
49.28676697222222,-123.11186297222221
49.28676697222222,-123.11186297222221
49.287883,-123.11390999999999
49.28803597222222,-123.11387297222221
49.28803597222222,-123.11387297222221
49.289912,-123.113979
49.289912,-123.113979
49.289912,-123.113979
49.289518,-123.11485997222222
49.289518,-123.11485997222222
